Latitude,Longitude,temperature,humidity,rain
8.34233307,77.34381455,31.34,56.21780832,2.669163946
8.338316605,77.19707732,25.57,96.55000145,3.148091906
8.244354905,77.0042699,28.67,81.23957593,3.226658959
8.359783693,77.6396249,37.16,71.90609389,2.784609742
8.368980286,77.73473677,38.47,40.92130483,2.693927838
8.241571149,77.61446183,33.28,40.91961642,2.915202666
8.140595367,77.22329921,29.86,34.06585285,2.796450992
8.193699357,77.12849249,27.21,90.6323302,2.853109681
8.249041383,77.05986621,27.87,72.07805082,2.972378876
8.298363905,77.63954452,34.08,79.56508045,2.916854111
8.45034154,77.75216284,28.74,31.4409146,3.306803375
8.435000127,76.92112805,28.8,97.89368965,3.012487365
8.58150975,77.81889286,30.93,88.27098486,2.890838667
8.469720725,77.50739691,26.31,44.86373775,2.969727176
8.525622987,77.3520284,32.08,42.7277477,3.172615688
8.43605795,77.56985511,27.8,42.83831569,2.803202621
8.485357312,77.29254914,28.77,51.29695701,2.970812399
8.4911667,76.73040177,28.32,66.73295021,3.361019353
8.5973425,77.99861043,27.59,60.2361513,3.25224016
8.381384348,77.73056876,32.28,50.38603981,2.934459721
8.397170235,76.74778309,31.46,72.82970263,2.652585446
8.401115384,77.70874362,31.92,39.76457025,3.128524928
8.514211858,77.87411432,28.9,50.4501254,2.942968554
8.382648029,77.33754128,29.34,55.64532903,2.950434398
8.464617618,76.85512674,31.78,61.9248989,3.21471809
8.470193736,77.60401476,28.91,84.9623173,2.73370909
8.618504465,76.88350118,30.25,43.97716475,2.869811566
8.571062544,77.48612224,29.77,65.99641069,2.878398824
8.769006007,77.68316471,30.83,71.46901982,3.295556358
8.65436331,76.78913774,29.22,33.25152889,3.214274465
8.738619112,76.59524492,23.77,72.52813963,3.368323486
8.746243455,77.45229954,27.57,41.93668866,3.226390481
8.693556207,77.63973728,29.7,34.55361151,3.130229909
8.638494595,77.09803959,33.61,96.42198761,3.31608203
8.761703307,76.47343899,34.15,97.59424232,2.658896776
8.675406892,77.1382123,26.25,86.58781437,2.757217604
8.868663525,77.12683316,32.33,51.32296384,3.101843849
8.787086873,77.70708035,25.63,36.83704798,2.650477404
8.625372854,77.58509902,28.88,77.89631186,3.084550228
8.741136187,78.05551897,26.34,60.81067456,2.665701511
8.832750984,77.46493278,25.85,38.54267644,3.392818067
8.652995063,77.49128152,32.36,64.66238371,2.80048773
8.860130091,76.94360369,31.33,32.40719648,2.985792444
8.787564099,76.53680223,33.62,93.65242815,2.866715399
8.652482386,76.75826841,29.6,48.11459871,3.168987669
8.793873719,76.9750692,31.3,76.3765599,3.363584905
8.948222564,77.188146,33.23,51.81977533,2.885499063
8.876436448,77.72209142,30.36,66.40476148,2.623364958
9.101836247,77.03818525,29.49,68.26971955,2.917303492
8.92807172,77.13316325,35.05,42.93981189,2.614431446
8.879646349,78.09276835,26.09,97.87092394,2.873793205
9.113114987,76.41521915,23.78,84.25929764,2.881993023
9.020820875,77.65439698,30.82,95.76492591,3.312737281
8.877489181,77.14963297,32.31,92.63791453,3.02807149
8.981379572,77.77338295,36.22,71.85299852,3.063563562
